Neighborhood,Borough,Median Rent,Median Income,Income % for Median Rent,Income Required to Lease
Queensbridge-Ravenswood-Long Island City,Queens,3300,28378,139.54%,132000
Williamsburg,Brooklyn,2499,21502,139.47%,99960
Lower East Side,Manhattan,3495,31273,134.11%,139800
Mott Haven-Port Morris,Bronx,2200,20334,129.83%,88000
East Harlem North,Manhattan,2495,26099,114.72%,99800
Chinatown,Manhattan,3391,35908,113.32%,135640
Manhattanville,Manhattan,2550,29182,104.86%,102000
Highbridge,Bronx,2008,23334,103.27%,80320
Hunts Point,Bronx,1937.5,22572,103.00%,77500
Melrose South-Mott Haven North,Bronx,1875,22537,99.84%,75000
East Concourse-Concourse Village,Bronx,2225,27883,95.76%,89000
University Heights-Morris Heights,Bronx,1995,25073,95.48%,79800
East Harlem South,Manhattan,2850,35857,95.38%,114000
East New York (Pennsylvania Ave),Brooklyn,2300,29527,93.47%,92000
Fort Greene,Brooklyn,4690,61990,90.79%,187600
Mount Hope,Bronx,1950,26195,89.33%,78000
Brighton Beach,Brooklyn,2262.5,30872,87.94%,90500
West Brighton,Brooklyn,2649.5,38047,83.57%,105980
West Farms-Bronx River,Bronx,2000,29382,81.68%,80000
Bedford,Brooklyn,2500,37343,80.34%,100000
Central Harlem North-Polo Grounds,Manhattan,2300,34413,80.20%,92000
North Side-South Side,Brooklyn,3995,61381,78.10%,159800
Stuyvesant Heights,Brooklyn,2400,37082,77.67%,96000
Crown Heights North,Brooklyn,2400,37104,77.62%,96000
Jamaica,Queens,2562.5,39763,77.33%,102500
Bushwick South,Brooklyn,2400,37285,77.24%,96000
Hunters Point-Sunnyside-West Maspeth,Queens,3969,61736,77.15%,158760
Bedford Park-Fordham North,Bronx,1895,29549,76.96%,75800
West New Brighton-New Brighton-St. George,Staten Island,3100,48439,76.80%,124000
Hamilton Heights,Manhattan,2495,39019,76.73%,99800
Ocean Hill,Brooklyn,2099,33125,76.04%,83960
West Concourse,Bronx,1750,27637,75.99%,70000
Flushing,Queens,2512.5,39840,75.68%,100500
Washington Heights South,Manhattan,2295,36518,75.41%,91800
Central Harlem South,Manhattan,3000,48366,74.43%,120000
Sunset Park East,Brooklyn,2200,35636,74.08%,88000
Rego Park,Queens,3062.5,50871,72.24%,122500
Crown Heights South,Brooklyn,2497,41745,71.78%,99880
East Williamsburg,Brooklyn,3000,50777,70.90%,120000
Hammels-Arverne-Edgemere,Queens,2300,39432,69.99%,92000
Old Astoria,Queens,2725,46840,69.81%,109000
Bushwick North,Brooklyn,2450,42296,69.51%,98000
Prospect Lefferts Gardens-Wingate,Brooklyn,2450,42462,69.24%,98000
East New York,Brooklyn,1900,32973,69.15%,76000
Gravesend,Brooklyn,2025,35550,68.35%,81000
Morningside Heights,Manhattan,3200,56371,68.12%,128000
Marble Hill-Inwood,Manhattan,2200,39003,67.69%,88000
Soundview-Castle Hill-Clason Point-Harding Park,Bronx,2025,36129,67.26%,81000
Borough Park,Brooklyn,1975,35754,66.29%,79000
Norwood,Bronx,1925,35319,65.40%,77000
Sunset Park West,Brooklyn,2400,44165,65.21%,96000
Corona,Queens,2355,44026,64.19%,94200
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Brooklyn,4400,84945,62.16%,176000
East Village,Manhattan,3750,72665,61.93%,150000
Stapleton-Rosebank,Staten Island,2829,56462,60.13%,113160
Flatbush,Brooklyn,2250,45332,59.56%,90000
Cypress Hills-City Line,Brooklyn,2000,40432,59.36%,80000
Midwood,Brooklyn,2150,43687,59.06%,86000
Elmhurst,Queens,2350,47863,58.92%,94000
Clinton,Manhattan,3600,73591,58.70%,144000
North Corona,Queens,2270,46568,58.50%,90800
Van Nest-Morris Park-Westchester Square,Bronx,2168,44588,58.35%,86720
Kensington-Ocean Parkway,Brooklyn,2199.5,45483,58.03%,87980
Erasmus,Brooklyn,1962.5,40681,57.89%,78500
Van Cortlandt Village,Bronx,1950,40669,57.54%,78000
Jackson Heights,Queens,2300,48869,56.48%,92000
Ocean Parkway South,Brooklyn,2350,50540,55.80%,94000
Brooklyn Heights-Cobble Hill,Brooklyn,4834,105398,55.04%,193360
Bensonhurst West,Brooklyn,2100,46137,54.62%,84000
Pelham Parkway,Bronx,2169,47806,54.45%,86760
Washington Heights North,Manhattan,2275,50192,54.39%,91000
Stuyvesant Town-Cooper Village,Manhattan,4256.5,95022,53.75%,170260
Elmhurst-Maspeth,Queens,2495,55881,53.58%,99800
Ft. Totten-Bay Terrace-Clearview,Queens,3200,71784,53.49%,128000
Clinton Hill,Brooklyn,2950,66282,53.41%,118000
Ridgewood,Queens,2200,49776,53.04%,88000
Astoria,Queens,2400,54882,52.48%,96000
Murray Hill,Queens,2300,52696,52.38%,92000
College Point,Queens,2550,58420,52.38%,102000
Lincoln Square,Manhattan,5232.5,120337,52.18%,209300
East Flatbush-Farragut,Brooklyn,2212,50889,52.16%,88480
Woodside,Queens,2199.5,50952,51.80%,87980
Rugby-Remsen Village,Brooklyn,1900,44027,51.79%,76000
Upper West Side,Manhattan,3980,92268,51.76%,159200
Port Richmond,Staten Island,2660,61952,51.52%,106400
Homecrest,Brooklyn,2050,47882,51.38%,82000
Greenpoint,Brooklyn,2900,67928,51.23%,116000
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,2187.5,51314,51.16%,87500
Hudson Yards-Chelsea-Flat Iron-Union Square,Manhattan,4304,101369,50.95%,172160
Bensonhurst East,Brooklyn,1900,45108,50.55%,76000
East Flushing,Queens,2350,55971,50.38%,94000
Carroll Gardens-Columbia Street-Red Hook,Brooklyn,3585,85496,50.32%,143400
North Riverdale-Fieldston-Riverdale,Bronx,3295,78895,50.12%,131800
Westchester-Unionport,Bronx,1900,45536,50.07%,76000
Queensboro Hill,Queens,2200,53836,49.04%,88000
Pomonok-Flushing Heights-Hillcrest,Queens,1975,48386,48.98%,79000
Bath Beach,Brooklyn,2200,55193,47.83%,88000
Bay Ridge,Brooklyn,2300,57980,47.60%,92000
Steinway,Queens,2400,60618,47.51%,96000
Gramercy,Manhattan,3995,100900,47.51%,159800
Baisley Park,Queens,2325,59357,47.00%,93000
Spuyten Duyvil-Kingsbridge,Bronx,2600,67534,46.20%,104000
Madison,Brooklyn,2150,55840,46.20%,86000
West Village,Manhattan,4295,112689,45.74%,171800
Briarwood-Jamaica Hills,Queens,2186,58564,44.79%,87440
Maspeth,Queens,2099,56689,44.43%,83960
SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,4400,118931,44.40%,176000
Kew Gardens,Queens,2400,65035,44.28%,96000
Forest Hills,Queens,2500,67881,44.19%,100000
